tag,category,trigger,effect,set_by
TFS Buyer,Signup,Website signup,Primary buyer identity,auth-signup.js
Website Signup,Signup,Website signup,Source attribution,auth-signup.js
buyer-signup,Signup,Website / VIP / buy-box submit,Trigger for buyer-relations cron,auth-signup.js + vip-buyer-submit.js + buy-box-save.js
opt in,Compliance Gate,Any website signup form,REQUIRED before any outbound SMS/email (hasOptInTag gate). ~9084 contacts as of 2026-04-20.,auth-signup.js + vip-buyer-submit.js + buy-box-save.js
opt-out:sms,Compliance Gate,Inbound STOP / unsubscribe reply,"Skips entire alert flow (PR #95 compliance gate). ANY tag matching /^opt-out/ or /^unsubscribe/ blocks sends.",buyer-response-tag.js + GHL native STOP
dnd (contact.dnd=true),Compliance Gate,Admin sets do-not-disturb,"Native GHL DND flag. PR #95 gate — skips entire alert flow.",manual / GHL native
tfs buyer,Signup,Buy box submit (legacy lowercase),Buyer identity — de facto audience label (~10370 contacts),buy-box-save.js
buy box complete,Signup,Buy box form submit,Buyer has filled out criteria (~69 contacts),buy-box-save.js
use:buyer,Signup,VIP / buy box submit,General buyer flag,vip-buyer-submit.js + buy-box-save.js
VIP Buyer List,VIP,VIP QR funnel signup,VIP buyer status (first access),vip-buyer-submit.js
Source: Cowork QR Buyer,VIP,VIP QR funnel signup,VIP source attribution,vip-buyer-submit.js
use:fix-flip,Buyer Type,VIP buyType selection,Fix and flip investor,vip-buyer-submit.js
use:rental-buyer,Buyer Type,VIP buyType selection,Buy and hold investor,vip-buyer-submit.js
use:creative-finance,Buyer Type,VIP buyType selection,SubTo / SF interested,vip-buyer-submit.js
use:wholetail,Buyer Type,VIP buyType selection,Wholetail strategy,vip-buyer-submit.js
buy:subto,Deal Pref (canonical),Buyer prefs captured,"Canonical form after 2026-04-20 cleanup. Replaces acq:subto.",buy-box-save.js / manual
buy:creative,Deal Pref (canonical),Buyer prefs captured,"Subject To or Seller Finance interest.",buy-box-save.js / manual
buy:seller-finance,Deal Pref (canonical),Buyer prefs captured,"Seller Finance-focused buyer.",buy-box-save.js / manual
strategy:padsplit,Strategy Pref,Buyer uses PadSplit model,PadSplit-focused buyer strategy tag.,manual
